Area;Perimeter;MajorAxisLength;MinorAxisLength;AspectRation;Eccentricity;ConvexArea;EquivDiameter;Extent;Solidity;roundness;Compactness;ShapeFactor1;ShapeFactor2;ShapeFactor3;ShapeFactor4;Class
32026;654.237;2.309.790.674;1.769.318.083;1.305.469.433;0.642831065;32349;2.019.325.869;0.779448988;0.990015147;0.940247873;0.874246265;0.007212236;0.002598872;0.764306531;0.997778814;SEKER
32038;645.085;2.244.823.211;1.819.408.668;1.233.820.224;0.5857513;32308;201.970.415;0.770514671;0.991642937;0.967478615;0.899716352;0.007006752;0.002832168;0.809489514;0.998764533;SEKER
32044;652.651;2.161.471.468;1.889.705.403;1.143.813.985;0.48544352;32395;2.019.893.264;0.778069153;0.989164995;0.945354229;0.934499156;0.006745324;0.003173206;0.873288673;0.998879798;SEKER
32057;642.082;2.159.182.853;1.893.033.869;1.140.593.884;0.48097147;32301;202.030.295;0.779804909;0.992446054;0.977128658;0.935679416;0.006735449;0.003184598;0.875495969;0.998585347;SEKER
32066;669.313;236.436.655;1.732.308.993;1.364.864.213;0.680580172;32481;202.058.653;0.780878628;0.9872233;0.899489569;0.854599524;0.007373438;0.002426053;0.730340347;0.996815403;SEKER
32109;663.582;2.244.723.523;1.823.644.962;1.230.899.418;0.583080944;32567;2.021.940.863;0.767625332;0.985936684;0.9163206;0.90075274;0.006990948;0.002838822;0.811355498;0.998697011;SEKER
32114;648.566;2.226.575.074;1.838.290.361;1.211.220.556;0.564236127;32393;2.022.098.285;0.760670804;0.991387028;0.9593916;0.908165329;0.006933347;0.002909259;0.824764265;0.998971432;SEKER
32167;654.893;217.960.517;1.882.047.159;1.158.103.377;0.504381753;32521;2.023.766.203;0.76059302;0.989114726;0.942496457;0.928501286;0.006775904;0.003106541;0.862114638;0.998417873;SEKER
32213;658.216;2.214.811.143;1.852.954.324;1.195.286.422;0.547784367;32585;2.025.212.716;0.762907351;0.988583704;0.934338332;0.914395217;0.00687552;0.002964975;0.836118613;0.999401225;SEKER
32218;653.595;2.227.560.714;1.844.046.839;1.207.974.042;0.560975566;32566;2.025.369.884;0.754431565;0.989314008;0.947743902;0.90923218;0.006914025;0.002914808;0.826703157;0.998635954;SEKER
32233;665.493;2.212.336.837;1.855.923.729;1.192.040.817;0.54428951;32710;2.025.841.313;0.775204425;0.985417304;0.91458402;0.915702021;0.006863577;0.002976782;0.838510191;0.999538373;SEKER
32251;644.051;2.209.809.628;1.860.277.835;1.187.892.253;0.539747143;32514;2.026.406.883;0.764060649;0.991911177;0.977040422;0.917005183;0.00685191;0.002988674;0.840898506;0.998896821;SEKER
32258;654.808;2.208.040.301;1.862.777.558;1.185.348.348;0.536918908;32612;2.026.626.784;0.775805676;0.9891451;0.945408164;0.917839581;0.006844939;0.002996515;0.842429496;0.998572412;SEKER
32262;652.419;2.226.986.563;1.845.129.929;1.206.953.791;0.559941518;32563;2.026.752.432;0.781313572;0.99075638;0.952462642;0.910087409;0.006902816;0.002921047;0.828259093;0.999670452;SEKER
32279;646.556;2.181.816.038;1.885.531.418;115.713.587;0.503143726;32623;2.027.286.345;0.790183599;0.989455292;0.970325944;0.929173821;0.006759243;0.00310789;0.86336399;0.999029442;SEKER
32323;649.59;2.173.714.574;189.591.319;1.146.526.426;0.489149967;32615;2.028.667.587;0.784843629;0.991047064;0.962593368;0.933272294;0.006724978;0.003147053;0.870997175;0.998621278;SEKER
32338;653.602;2.214.113.413;186.136.273;1.189.512.059;0.541530905;32672;2.029.138.251;0.782490866;0.989777179;0.951253518;0.916456329;0.006846785;0.002979295;0.839892203;0.999061903;SEKER
32355;657.166;221.279.621;1.863.604.099;118.737.462;0.539174328;32720;2.029.671.537;0.783793605;0.988844743;0.941458316;0.917242866;0.006839117;0.002986188;0.841334475;0.998979202;SEKER
32368;675.385;2.216.580.649;1.861.762.293;1.190.581.987;0.542701939;32806;2.030.079.249;0.759099437;0.986648784;0.891708502;0.915860765;0.006848062;0.002972113;0.838800941;0.998661291;SEKER
32376;643.009;2.191.300.137;1.883.004.274;1.163.725.525;0.511456521;32608;2.030.330.109;0.784302326;0.992885182;0.984008731;0.926541314;0.006768286;0.00307693;0.858478807;0.9990337;SEKER
32433;653.76;2.198.366.971;1.880.092.368;1.169.286.684;0.518261408;32775;2.032.116.585;0.769320176;0.989565217;0.953586944;0.924375508;0.00677818;0.003052717;0.854470079;0.999120486;SEKER
32465;653.85;2.252.024.494;1.836.920.946;1.225.977.906;0.578509868;32767;2.033.118.831;0.765034405;0.99078341;0.954265043;0.902796056;0.006936777;0.002842471;0.815040719;0.999221913;SEKER
32514;649.012;2.214.454.899;1.871.344.232;1.183.349.841;0.534673644;32843;2.034.652.564;0.7849831;0.989982645;0.970006874;0.918805149;0.006810774;0.002994125;0.844202902;0.99898737;SEKER
32518;651.651;2.212.627.854;1.872.561.106;1.181.605.154;0.532696427;32811;2.034.777.716;0.758915235;0.991070068;0.962284651;0.919620402;0.006804317;0.003001917;0.845701683;0.999285467;SEKER
32518;655.131;2.208.211.992;1.876.655.865;1.176.673.909;0.527019605;32842;2.034.777.716;0.794032183;0.990134584;0.952088655;0.921459408;0.006790737;0.003019962;0.849087441;0.999099038;SEKER
32525;663.914;2.250.778.556;1.842.147.342;1.221.823.306;0.574579254;33000;2.034.996.712;0.769057978;0.985606061;0.927264249;0.904130132;0.006920149;0.002852456;0.817451295;0.998781044;SEKER
32578;657.571;227.037.574;1.828.423.057;1.241.712.486;0.592813998;32901;2.036.654.067;0.781922043;0.990182669;0.946779791;0.89705595;0.006969046;0.002783756;0.804709378;0.999217682;SEKER
32581;649.583;2.244.241.779;1.849.234.713;1.213.605.695;0.566603091;32851;2.036.747.839;0.772061611;0.991781072;0.970297635;0.907543857;0.006888192;0.002882408;0.823635852;0.99956916;SEKER
32615;664.789;2.181.467.463;191.002.277;1.142.115.946;0.483095172;33016;2.037.810.289;0.808562858;0.987854374;0.927383997;0.934146543;0.00668854;0.003141747;0.872629764;0.996644368;SEKER
32622;657.009;2.352.708.698;1.771.581.895;1.328.027.061;0.658024288;32902;203.802.896;0.779311992;0.991489879;0.949681133;0.866247896;0.007212031;0.002504991;0.750385418;0.996532141;SEKER
32698;653.049;2.250.141.906;1.851.437.243;1.215.348.733;0.568317852;32994;2.040.401.594;0.767684831;0.991028672;0.963472928;0.906787962;0.006881589;0.002870063;0.822264408;0.999338006;SEKER
32705;654.454;2.238.758.675;1.861.499.298;120.266.426;0.555543833;33021;2.040.619.987;0.779469946;0.990430332;0.959545923;0.911496183;0.00684531;0.00291469;0.830825292;0.999203884;SEKER
32713;660.043;2.154.163.208;1.934.864.621;1.113.340.533;0.43959156;33020;2.040.869.551;0.799516082;0.990702604;0.943595321;0.947407115;0.006585037;0.003272537;0.897580242;0.999312465;SEKER
32729;656.679;2.142.657.207;194.793.825;1.099.961.565;0.416528466;33066;2.041.368.587;0.769153036;0.989808262;0.953753937;0.952727566;0.006546663;0.003327167;0.907689816;0.998423911;SEKER
32774;660.614;2.228.700.513;1.874.792.477;1.188.771.846;0.540717403;33120;2.042.771.471;0.790153816;0.98955314;0.943721321;0.916575134;0.006800209;0.002960563;0.840109976;0.998699087;SEKER
32775;649.807;2.200.250.995;1.898.094.038;1.159.189.666;0.505764488;33062;2.042.802.636;0.772630835;0.991319339;0.975402341;0.928440728;0.006713199;0.00307699;0.862002186;0.999224026;SEKER
32795;651.03;2.252.102.521;1.856.002.312;1.213.415.795;0.566415511;33091;2.043.425.821;0.775992617;0.99105497;0.972334053;0.907341385;0.006867213;0.002871066;0.82326839;0.998966867;SEKER
32796;654.824;2.231.453.687;1.874.192.621;1.190.621.317;0.542744878;33111;2.043.456.976;0.800820453;0.990486545;0.961128742;0.915751462;0.006804042;0.002951598;0.83860074;0.998455917;SEKER
32799;653.729;2.199.055.494;1.901.123.396;1.156.713.709;0.502601593;33087;2.043.550.436;0.746177996;0.991295675;0.964439446;0.929285523;0.006704642;0.003084267;0.863571584;0.998905089;SEKER
32829;658.101;2.215.995;1.890.026.275;1.172.467.827;0.522071263;33154;2.044.484.801;0.789785166;0.990197261;0.952538233;0.922603526;0.006750114;0.003016833;0.851197267;0.998001409;SEKER
32836;669.19;2.184.060.038;1.917.587.728;1.138.962.252;0.478674896;33225;2.044.702.758;0.80291471;0.988291949;0.92142762;0.936193476;0.006651419;0.003151785;0.876458224;0.998252833;SEKER
32849;664.105;2.307.223.076;1.817.436.855;1.269.492.841;0.616038378;33245;2.045.107.474;0.746568182;0.988088434;0.935962647;0.886393473;0.007023724;0.002674566;0.785693388;0.997432131;SEKER
32870;655.512;2.203.581.629;1.900.206.598;1.159.653.709;0.506352834;33198;2.045.761.077;0.781242573;0.990119887;0.961276389;0.928379984;0.00670393;0.003071937;0.861889394;0.999493233;SEKER
32885;659.728;2.270.674.037;1.845.596.932;1.230.319.577;0.582547095;33225;2.046.227.808;0.785669916;0.989766742;0.949462632;0.90115436;0.006904893;0.002808882;0.81207918;0.999116914;SEKER
32920;671.612;2.190.931.338;1.914.622.125;1.144.315.272;0.486132629;33376;2.047.316.434;0.777974713;0.986337488;0.917134004;0.934450294;0.00665532;0.00313021;0.873197353;0.999213067;SEKER
32925;656.646;2.251.281.702;1.864.615.283;1.207.370.616;0.560364527;33252;2.047.471.905;0.768683025;0.990166005;0.959562001;0.909469438;0.006837606;0.002885601;0.827134659;0.998658083;SEKER
32934;668.197;2.214.087.308;1.896.018.111;1.167.756.413;0.516407505;33401;2.047.751.722;0.776708646;0.986018383;0.926926508;0.924873972;0.006722801;0.003034312;0.855391863;0.998889334;SEKER
32947;668.231;2.096.932.927;2.002.495.993;1.047.159.612;0.296720861;33336;2.048.155.836;0.765319396;0.988330934;0.927198033;0.97673884;0.006364564;0.003573241;0.954018762;0.999009917;SEKER
32951;688.26;2.266.490.462;1.855.215.755;1.221.685.649;0.574447868;33524;2.048.280.162;0.770801656;0.982907768;0.874124721;0.903723266;0.006878366;0.002830133;0.816715741;0.9977699;SEKER
32988;676.797;2.247.517.099;1.871.772.945;120.074.238;0.553546741;33461;2.049.429.826;0.766699205;0.98586414;0.905000877;0.911863953;0.006813135;0.002905675;0.831495868;0.998412327;SEKER
33006;669.769;2.235.277.491;1.882.429.412;1.187.442.927;0.539249994;33458;2.049.988.888;0.757018349;0.986490525;0.924597414;0.917107114;0.006772337;0.002955279;0.841085458;0.998740978;SEKER
33010;665.85;2.249.712.592;1.868.900.915;1.203.762.369;0.556677424;33374;2.050.113.104;0.791587732;0.989093306;0.935626643;0.911277783;0.006815246;0.002899108;0.830427198;0.999637011;SEKER
33013;652.684;2.237.818.539;1.880.291.423;1.190.144.523;0.542223823;33289;205.020.626;0.789784689;0.991708973;0.973842946;0.916162872;0.006778598;0.002945848;0.839354409;0.998953052;SEKER
33019;655.703;2.244.502.114;1.875.026.272;1.197.051.022;0.549663318;33340;2.050.392.561;0.764328704;0.990371926;0.965071386;0.913517768;0.006797608;0.002920141;0.834514712;0.998956688;SEKER
33051;663.071;2.189.513.714;1.924.739.417;1.137.563.711;0.476689675;33423;2.051.385.878;0.777926846;0.98886994;0.94465755;0.936913921;0.006624652;0.003148775;0.877807695;0.998562178;SEKER
33058;655.511;2.244.458.788;1.878.781.612;1.194.635.275;0.547087283;33320;2.051.603.102;0.799274662;0.992136855;0.96677736;0.914074748;0.006789457;0.00292376;0.835532645;0.998156772;SEKER
33062;667.966;2.220.391.436;1.897.813.412;1.169.973.519;0.51908899;33439;2.051.727.219;0.77866227;0.988725739;0.931172778;0.924038522;0.006715841;0.003020233;0.853847189;0.998978601;SEKER
33078;659.456;2.355.600.775;1.789.312.328;1.316.483.846;0.650391531;33333;2.052.223.615;0.787721471;0.992349923;0.955822961;0.871210282;0.007121352;0.002530662;0.759007355;0.999220922;SEKER
33078;652.214;2.213.869.025;1.903.548.121;1.163.022.358;0.510582618;33327;2.052.223.615;0.772417336;0.99252858;0.977167183;0.926985107;0.006692874;0.003048481;0.859301388;0.999386727;SEKER
33089;663.915;2.173.358.221;1.942.070.489;1.119.093.377;0.448903019;33466;2.052.564.817;0.774410223;0.988734835;0.94334064;0.944420849;0.00656822;0.003223218;0.891930741;0.998153785;SEKER
33090;653.809;228.406.675;1.846.885.548;1.236.712.666;0.588365282;33352;2.052.595.833;0.769355964;0.992144399;0.972758069;0.898658427;0.006902589;0.002776965;0.807586968;0.998753033;SEKER
33143;648.385;2.225.263.095;1.897.373.793;1.172.812.181;0.522480157;33377;2.054.238.989;0.769979556;0.992989184;0.9906854;0.923144321;0.006714127;0.003007791;0.852195437;0.999465189;SEKER
33159;653.801;2.224.440.287;18.998.042;1.170.878.708;0.520175444;33415;2.054.734.778;0.788111423;0.99233877;0.974810341;0.923708669;0.006708406;0.003012584;0.853237706;0.999037863;SEKER
33168;680.621;234.315.548;1.805.827.539;1.297.552.191;0.637220052;33542;2.055.013.606;0.761240274;0.9888498;0.899742964;0.877028274;0.007064506;0.002578196;0.769178593;0.998049369;SEKER
33171;654.338;222.253.649;1.903.614.532;1.167.534.946;0.516138043;33429;2.055.106.541;0.790237278;0.99228215;0.973563187;0.924667176;0.00670024;0.003021425;0.855009387;0.998253339;SEKER
33194;664.658;2.323.085.443;1.820.856.017;1.275.820.505;0.621001572;33520;2.055.818.899;0.773698809;0.990274463;0.944219534;0.88495191;0.00699851;0.002647671;0.783139883;0.99914592;SEKER
33236;660.788;2.108.580.025;2.009.273.673;1.049.424.005;0.303273094;33611;205.711.909;0.76828479;0.988842938;0.956520582;0.975594507;0.006344265;0.003545182;0.951784642;0.998825651;SEKER
33248;660.068;2.309.698.347;1.834.292.487;1.259.176.693;0.607696024;33511;2.057.490.422;0.787661984;0.992151831;0.958954568;0.890804821;0.006946879;0.002698359;0.793533229;0.999198547;SEKER
33251;658.962;217.452.163;1.949.834.825;1.115.233.763;0.442693503;33565;2.057.583.245;0.757943925;0.990645017;0.962263101;0.946223398;0.006539718;0.003233803;0.895338718;0.998511968;SEKER
33276;704.493;2.347.881.384;180.705.496;1.299.286.096;0.6384619;33857;2.058.356.604;0.759656652;0.98283959;0.842534348;0.876686794;0.00705578;0.002571003;0.768579735;0.998604963;SEKER
33316;670.587;2.292.180.829;1.852.793.615;1.237.148.493;0.588756561;33699;2.059.593.374;0.782616866;0.988634678;0.931005952;0.898530058;0.00688012;0.002766344;0.807356266;0.998819588;SEKER
33319;668.601;2.250.172.378;1.888.365.103;1.191.598.158;0.543808892;33732;2.059.686.102;0.7960388;0.987756433;0.936629385;0.915345918;0.006753421;0.002924453;0.83785815;0.998390229;SEKER
33325;674.433;2.238.254.842;1.897.357.064;1.179.669.807;0.530484185;33701;2.059.871.545;0.798969072;0.988843061;0.920666621;0.920302508;0.006716444;0.00297195;0.846956707;0.999129255;SEKER
33330;653.776;2.243.601.667;1.894.313.875;1.184.387.496;0.535842011;33580;2.060.026.068;0.790184922;0.992555092;0.979912348;0.918178168;0.006731478;0.002951196;0.843051148;0.998499238;SEKER
33333;679.262;2.205.312.914;1.927.167.056;1.144.328.878;0.486151306;33834;2.060.118.777;0.772240756;0.98519241;0.907840655;0.934161662;0.006616005;0.003107876;0.87265801;0.998607762;SEKER
33338;659.103;2.322.637.945;1.829.185.092;1.269.766.497;0.616255393;33639;2.060.273.281;0.776747437;0.991052053;0.964368085;0.887040223;0.006966938;0.002660694;0.786840358;0.999103524;SEKER
33344;661.508;2.253.180.561;188.668.526;1.194.253.546;0.54667768;33692;2.060.458.672;0.763352487;0.989671139;0.957540959;0.914466735;0.006757379;0.002914941;0.83624941;0.998693823;SEKER
33382;659.434;2.228.701.044;190.920.249;1.167.346.605;0.515908654;33730;2.061.632.423;0.781688327;0.989682775;0.964671718;0.925037671;0.006676356;0.003015483;0.855694693;0.998892294;SEKER
33399;664.701;2.215.599.425;1.920.898.879;1.153.418.042;0.498328415;33752;2.062.157.306;0.761491108;0.989541361;0.949927944;0.930744648;0.00663373;0.003070858;0.866285599;0.99918944;SEKER
33421;654.804;2.195.440.823;1.940.253.903;1.131.522.436;0.46793088;33691;2.062.836.368;0.763385107;0.99198599;0.979504999;0.939600078;0.006569046;0.003158306;0.882848306;0.998962666;SEKER
33423;659.036;2.241.680.528;1.899.810.797;1.179.949.356;0.530804973;33707;206.289.809;0.772982724;0.99157445;0.967023472;0.920246246;0.006707;0.002967046;0.846853153;0.999243833;SEKER
33427;665.61;228.223.182;1.866.258.656;1.222.891.486;0.575596241;33789;2.063.021.528;0.754491694;0.989286454;0.948129347;0.903949156;0.00682751;0.002812018;0.817124077;0.999254077;SEKER
33429;658.605;2.294.460.905;1.856.980.934;1.235.586.679;0.587351259;33713;2.063.083.245;0.791743641;0.99157595;0.968463377;0.899158159;0.006863684;0.00276746;0.808485396;0.998953785;SEKER
33431;666.841;2.199.074.077;1.936.804.685;1.135.413.444;0.473606709;33788;2.063.144.959;0.788708802;0.989434119;0.94474509;0.938188022;0.006577949;0.003143618;0.880196765;0.999387241;SEKER
33433;657.349;2.250.025.125;1.895.660.154;1.186.934.863;0.538686621;33708;2.063.206.672;0.776807082;0.991841699;0.972284135;0.916970503;0.006729953;0.002935035;0.840834904;0.998016261;SEKER
33446;656.077;2.242.339.338;1.902.565.986;1.178.586.895;0.529237524;33713;2.063.607.759;0.767814509;0.992080206;0.97643744;0.920292359;0.006704357;0.002966471;0.846938026;0.998190058;SEKER
33447;664.412;2.261.186.154;1.887.406.408;1.198.038.824;0.550708725;33791;2.063.638.608;0.770224525;0.989819774;0.952120901;0.912635435;0.006760505;0.002892999;0.832903437;0.997850654;SEKER
33459;655.414;2.191.299.474;1.945.431.002;112.638.252;0.460233577;33765;2.064.008.768;0.786308517;0.990937361;0.978794213;0.941910858;0.006549208;0.003179858;0.887196064;0.999322138;SEKER
33468;659.987;2.244.599.389;1.899.543.464;1.181.652.029;0.53274976;33748;2.064.286.344;0.792329545;0.991703212;0.965536869;0.91966805;0.006706703;0.002959465;0.845789323;0.999428669;SEKER
33498;657.523;2.279.380.769;1.873.160.543;121.686.354;0.569797937;33745;2.065.211.327;0.781494961;0.992680397;0.973658914;0.906040516;0.006804528;0.002828579;0.820909416;0.998934738;SEKER
33534;657.067;2.188.447.518;1.951.928.536;1.121.171.948;0.452185632;33793;2.066.320.761;0.783504673;0.992335691;0.976058644;0.944194798;0.006526056;0.003199462;0.891503816;0.99952907;SEKER
33538;658.284;2.275.186.814;1.879.440.519;1.210.566.012;0.563582376;33800;2.066.443.995;0.760516111;0.992248521;0.972569007;0.908252449;0.006783907;0.002847646;0.82492251;0.998623154;SEKER
33539;662.418;2.236.835.362;1.912.006.021;1.169.889.288;0.518987648;33915;2.066.474.802;0.76426488;0.98891346;0.96049636;0.923838579;0.006669356;0.002996733;0.85347772;0.998474442;SEKER
33547;653.512;2.137.540.709;1.999.257.014;1.069.167.543;0.353836994;33832;2.066.721.244;0.783570411;0.991576023;0.987089244;0.966868717;0.006371779;0.003434872;0.934835117;0.999495365;SEKER
33560;669.259;2.279.361.768;1.878.565.921;1.213.352.027;0.566352488;33897;2.067.121.649;0.739858907;0.990058117;0.941549974;0.906886164;0.0067919;0.002833885;0.822442514;0.997912291;SEKER
33576;666.339;2.245.887.253;1.904.630.178;1.179.172.355;0.529912303;33927;2.067.614.349;0.761792399;0.989654258;0.950272923;0.920622505;0.006688966;0.002963911;0.847545797;0.999402573;SEKER
33583;657.754;2.217.110.512;1.929.504.091;1.149.057.171;0.492559596;33868;2.067.829.868;0.775302429;0.991584977;0.975444036;0.93266883;0.006601883;0.003081467;0.869871147;0.999531679;SEKER
33584;658.848;2.237.351.826;1.913.544.824;1.169.218.404;0.518178984;33884;2.067.860.655;0.748056576;0.991146264;0.972236276;0.924244739;0.006661958;0.002998676;0.854228338;0.998779494;SEKER
33607;690.171;2.147.652.972;1.995.241.432;1.076.387.518;0.369995763;34162;2.068.568.621;0.770802752;0.983753879;0.886596875;0.963176382;0.006390493;0.003392637;0.927708744;0.998574112;SEKER
