Lot.Area;Overall.Qual;Year.Built;Total.Bsmt.SF;Gr.Liv.Area;Full.Bath;Bedroom.AbvGr;Kitchen.AbvGr;Garage.Cars;Garage.Area;SalePrice
8012;6;1980;923;923;2;2;1;1;264;143000
11218;6;1992;1055;1845;2;3;1;2;462;189000
7892;6;1979;918;918;2;2;1;1;264;99500
7175;6;1984;744;752;1;2;1;1;264;125000
9453;7;1993;996;1744;2;3;1;2;457;194500
9672;6;1984;1040;1097;2;3;1;2;480;152000
8400;6;1980;650;1564;2;3;1;2;476;171000
9800;5;1920;816;1012;1;2;1;1;429;67500
8930;6;1978;0;1902;2;4;2;2;539;112000
11782;5;1961;1109;1155;1;3;1;2;576;148000
8450;5;1965;894;894;1;3;1;1;336;138500
9819;5;1967;882;900;1;3;1;1;280;122000
7500;5;1963;1040;1040;1;3;1;1;308;133000
6897;5;1962;1040;1040;1;3;1;1;260;127000
15410;6;1974;1208;1494;2;3;1;2;461;169000
10186;7;1992;750;1923;2;3;1;2;564;190000
13143;8;1993;1231;2349;2;4;1;3;762;362500
11134;8;1992;1390;2225;2;4;1;3;713;285000
4835;7;2004;1488;1488;2;2;1;2;506;260000
3515;7;2004;840;1680;2;2;1;2;588;190000
3215;7;2004;600;1200;2;2;1;2;480;155000
3182;7;2004;600;1200;2;2;1;2;480;151000
2544;7;2004;600;1200;2;2;1;2;480;149500
2544;6;2005;600;1236;2;2;1;2;480;152000
4403;7;2009;1470;1478;2;2;1;2;484;222000
2117;6;2000;756;1573;2;3;1;2;440;177500
2980;6;2000;756;1512;2;2;1;2;440;177000
2572;7;1999;696;1416;2;3;1;2;484;155000
2403;7;2003;530;1080;2;2;1;2;496;147110
12853;8;2010;1642;1418;1;1;1;3;852;267916
7379;8;2000;975;1848;2;3;1;2;592;254000
4420;8;1980;728;788;1;1;1;2;484;155000
3880;8;1978;1226;1226;1;1;1;2;484;206000
13517;6;1976;725;1479;2;3;1;2;475;130500
8000;7;2002;1492;1492;2;3;1;2;596;230000
10456;6;1967;1829;1829;2;4;1;2;535;218500
10791;6;1993;1280;2495;2;4;1;2;660;243500
10603;6;1977;1610;1610;2;3;1;2;480;205000
18837;6;1978;1224;1891;3;3;1;2;678;212500
10421;7;1988;980;1714;2;3;1;2;496;196500
9360;6;1972;1161;1381;1;3;1;2;676;197500
9600;6;1971;715;1645;1;4;1;2;441;171000
9600;5;1966;1232;1232;1;3;1;2;490;142250
9790;6;1963;1328;1328;1;3;1;2;528;143000
9320;4;1959;950;1225;1;3;1;0;0;128950
9900;5;1966;1209;1209;1;3;1;2;504;159000
9680;5;1967;1510;1510;2;3;1;2;517;178900
10600;6;1964;533;1775;2;3;1;2;480;136300
14112;5;1964;1152;1152;1;3;1;2;484;180500
8800;6;1963;936;1054;1;3;1;2;480;137500
13260;5;1962;1728;1728;2;6;2;0;0;84900
9717;5;1950;1078;1078;1;2;1;1;240;142125
9724;5;1952;1140;2461;2;3;1;2;400;197600
17360;6;1949;782;1556;2;3;1;2;470;172500
7207;5;1958;858;858;1;2;1;0;0;116500
5350;3;1940;728;1306;1;3;1;0;0;76500
9920;5;1954;1056;1063;1;3;1;1;280;128000
9600;6;1955;1156;1520;1;3;1;1;364;153000
7800;5;1954;1268;1268;1;2;1;1;244;132000
11380;6;1966;1080;1128;1;2;1;1;315;178000
11600;5;1960;1105;2274;2;5;2;2;480;154300
19900;7;1970;1947;2207;2;3;1;2;576;180000
16492;6;1966;1517;1888;2;2;1;2;578;190000
8267;5;1958;1604;1604;2;4;2;2;576;135000
8197;7;2003;1480;1480;2;3;1;2;620;214000
8050;5;1959;1143;1143;1;3;1;1;308;136000
10552;5;1959;1398;1700;1;4;1;2;447;165500
8400;5;1957;1314;1314;1;3;1;1;294;145000
8760;6;1959;1194;1194;1;3;1;1;312;148000
12160;5;1959;1188;1188;1;3;1;2;531;142000
9300;5;1960;1268;1264;1;3;1;2;461;167500
10725;5;1959;1206;1206;1;3;1;1;312;108538
10032;6;1959;1244;1580;1;3;1;2;440;159500
8382;4;1956;832;1337;1;3;1;1;263;108000
10950;5;1952;864;1064;1;2;1;1;318;135000
10895;5;1955;972;972;1;3;1;1;305;122500
13587;5;1958;988;988;1;2;1;1;264;119000
7922;5;1953;1057;1057;1;3;1;1;246;109000
7898;4;1920;576;985;1;2;1;2;676;105000
7200;5;1955;0;827;1;2;1;1;392;107500
10200;5;1954;1086;1086;1;3;1;2;490;144900
5868;5;1956;936;936;1;2;1;1;308;129000
17503;6;1948;912;1458;1;3;1;1;330;97500
6979;6;1980;1056;1056;0;0;2;2;576;144000
9830;5;1959;1063;1287;1;3;1;2;576;162000
11275;7;1967;710;2978;2;5;1;2;564;242000
8064;6;1948;816;1224;1;3;1;1;280;132000
7500;5;1959;1246;1246;1;3;1;1;305;154000
8520;5;1952;910;1385;2;4;1;2;720;166000
7200;5;1951;900;900;1;3;1;2;576;134800
10000;6;1962;1116;1116;1;3;1;2;440;160000
7635;5;1960;1175;1175;1;3;1;2;484;148000
9760;6;1963;1395;1395;1;2;1;2;440;192000
7700;6;1966;756;1839;1;4;1;2;442;155000
4800;4;1900;709;1844;1;3;1;1;240;80400
8800;4;1910;576;1140;1;3;1;0;0;96500
4485;5;1920;936;936;1;2;1;0;0;109500
8960;5;1927;1008;1028;1;2;1;2;360;115000
5805;5;1957;1347;1347;1;3;1;2;551;143000
5790;3;1915;840;1605;2;3;2;1;379;107400
4608;4;1945;747;747;1;2;1;1;220;80000
7200;5;1940;788;804;1;2;1;1;240;119000
5500;5;1929;926;1316;1;3;1;2;484;130000
6900;6;1938;827;1251;1;3;1;1;240;119000
11851;5;1948;1027;1633;1;3;1;1;240;129000
8239;5;1920;1008;1245;1;3;1;1;315;100000
9656;2;1923;678;832;1;2;1;2;780;12789
8520;6;1928;624;720;1;2;1;2;484;105900
9600;8;1900;930;1566;2;3;1;1;288;150000
10800;5;1915;686;1652;2;4;1;1;416;139000
9000;8;1890;346;2268;3;3;1;2;624;240000
9045;5;1910;840;2256;2;4;2;0;0;76500
7407;6;1957;912;1236;1;2;1;2;923;149700
7740;4;1910;622;1363;1;3;1;2;528;125500
11340;4;1885;777;2290;2;4;2;2;560;122500
10560;6;1922;738;1470;1;2;1;2;624;140750
5830;5;1950;988;1612;1;3;1;1;363;128500
7793;7;1922;1108;2068;1;3;1;1;315;209500
5000;4;1925;765;765;1;2;1;1;200;87000
6000;6;1939;608;1132;1;2;1;1;240;134000
6000;6;1940;572;1196;1;3;1;2;576;128000
6360;5;1942;835;1453;1;3;1;1;240;132000
6000;6;1948;780;1416;1;3;1;1;312;139900
6240;5;1936;528;1040;1;2;1;2;624;123900
6240;5;1930;928;1536;2;4;1;2;480;138400
6120;6;1923;1124;1068;1;2;1;1;288;109500
10300;7;1921;576;1710;2;3;1;2;480;140000
8094;4;1915;888;1962;1;4;1;2;572;149500
12900;6;1912;780;1560;1;3;1;0;0;159900
3068;6;1920;662;1324;1;3;1;1;180;122000
8472;5;1963;816;816;1;2;1;2;516;110000
5600;4;1930;0;1092;2;3;2;0;0;55000
7630;5;1900;360;1812;2;4;2;2;672;140000
24090;7;1940;1032;2403;2;4;1;1;349;244400
15263;5;1959;1422;1675;2;3;1;1;365;173000
10632;5;1917;689;1224;1;3;1;1;180;107500
9900;5;1915;1212;1392;1;3;1;0;0;100000
6001;6;1940;600;919;1;3;1;1;231;95000
6449;4;1907;707;1884;1;4;1;0;0;93369
6048;5;1910;856;1680;2;2;2;2;450;114900
6342;5;1875;780;1020;1;2;1;0;0;94000
10773;4;1967;1832;1832;2;4;2;0;0;136000
10778;4;1968;1768;1768;2;4;2;0;0;136500
11625;5;1965;1039;1039;1;3;1;2;504;131500
11341;5;1957;1392;1392;1;3;1;2;528;121500
8521;5;1967;912;912;1;3;1;1;336;125000
8246;5;1968;1060;1060;1;3;1;1;270;154000
7800;5;1966;864;892;1;3;1;1;416;137900
9364;6;1969;663;1352;1;4;1;1;299;158000
7832;5;1968;864;864;1;2;1;1;280;137250
7424;5;1978;1319;1373;1;3;1;2;591;160250
11227;5;1968;720;1440;1;4;1;2;480;163000
11616;6;1978;672;1386;2;3;1;2;440;158900
14000;7;1996;1306;2260;2;3;1;2;533;328000
20062;7;1977;1420;1483;1;1;1;2;690;270000
9259;4;1927;660;756;1;2;1;2;440;85000
9600;4;1950;1067;1067;2;2;1;2;436;128000
23595;7;1979;1332;1524;0;0;1;2;586;260000
17082;6;1978;1117;1981;2;4;1;2;522;230000
18600;3;1938;972;1610;2;4;1;1;480;124000
10625;5;1920;458;835;1;2;1;1;366;83000
11479;6;1950;663;1074;1;3;1;1;467;144500
9571;5;1956;1144;1144;1;3;1;1;596;129000
9350;4;1947;756;1531;1;3;1;1;209;127000
9525;5;1954;1172;1172;1;3;1;1;366;128000
10420;6;2009;1212;1212;2;3;1;2;460;186000
17485;7;2009;1508;1508;1;1;1;2;572;308030
11200;5;1964;1250;1298;2;3;1;2;504;114000
11100;4;1946;0;930;1;2;1;1;308;84900
9206;6;1985;741;1732;2;3;1;2;476;178000
11980;7;1987;1433;1433;1;1;1;2;528;270000
12361;6;1993;946;1802;2;3;1;4;1017;218000
9938;7;1993;1050;1949;2;3;1;2;574;236000
9069;6;1992;936;996;1;2;1;2;564;147000
10475;8;2008;1694;1694;2;3;1;3;776;245350
6762;7;2006;1187;1208;2;2;1;2;632;206000
10402;7;2009;1226;1226;2;3;1;3;740;198900
7360;7;2010;1222;1222;2;2;1;2;615;187000
12376;7;1990;1673;3222;3;5;1;3;594;320000
14235;6;1900;676;1445;2;3;1;2;484;138500
8816;6;1971;1010;1052;1;3;1;2;440;155000
11105;5;1996;870;965;1;2;1;2;580;159000
9337;7;1997;878;1692;2;3;1;2;513;191000
8750;6;1998;804;1682;2;3;1;2;523;200500
15240;5;1977;1026;1026;1;3;1;1;308;150000
10900;6;1977;689;1392;1;3;1;1;299;161750
10650;5;1976;894;894;1;3;1;1;308;128200
7480;5;1972;876;876;1;3;1;2;484;127000
10389;8;2003;1978;1978;2;3;1;3;850;318000
11423;8;2001;1581;1601;2;3;1;2;670;272000
9548;7;2003;941;1829;2;3;1;2;613;237000
9375;7;1997;1040;2098;2;4;1;2;621;240000
12137;7;1998;1649;1661;2;3;1;2;598;224900
4435;6;2003;848;848;1;1;1;2;420;143750
4426;6;2004;848;848;1;1;1;2;420;143000
10635;8;2003;1657;1668;2;3;1;2;502;232000
8400;7;2004;1473;1484;2;3;1;2;606;213000
8773;7;2004;1414;1414;2;3;1;2;494;185500
8777;3;1945;0;640;1;2;1;1;240;84900
8842;5;1954;381;992;1;3;1;1;319;155891
9825;5;1965;0;1664;2;4;2;0;0;100000
10044;5;1968;1196;1196;1;3;1;1;336;144000
11792;4;1948;744;1120;1;2;1;2;480;64000
6305;6;1975;1008;1096;1;3;1;1;352;125200
7819;6;1976;1029;1117;1;3;1;2;672;107000
6410;4;1958;960;960;1;3;1;0;0;90000
8546;4;2003;1121;1121;2;2;1;2;440;140000
8741;6;1945;735;1487;1;3;1;1;220;113000
12180;4;1941;672;924;1;2;1;1;280;80000
8562;5;1957;1216;1526;1;4;1;1;364;144500
4853;5;1924;1107;1296;2;2;1;1;260;104000
6858;6;1915;806;1647;1;4;1;1;216;128000
8212;3;1914;864;864;1;2;1;1;200;58500
5000;5;1924;1026;1691;2;3;1;1;308;127000
7890;6;1939;856;856;1;2;1;2;399;126000
7200;4;1967;0;2650;3;6;2;0;0;160000
9839;5;1931;894;1666;1;3;1;0;0;100000
9638;6;1919;804;2447;2;4;1;1;336;169000
10452;7;1941;1528;2133;1;4;1;1;312;257500
15600;5;1950;1032;2177;2;5;2;2;484;215000
9042;7;1941;1152;2340;2;4;1;1;252;266500
17500;7;1959;1902;1902;2;3;1;2;567;335000
19645;7;1994;423;1652;2;3;1;2;473;203135
3907;8;1989;982;1034;1;1;1;2;598;185000
3907;8;1989;1191;1191;2;2;1;2;531;162500
15602;7;1959;1501;1801;2;1;1;2;484;289000
5436;4;1922;796;1154;1;3;1;1;240;125500
8154;2;1941;480;540;1;1;1;1;200;82000
9140;6;1921;629;1107;1;2;1;1;625;110000
7500;4;1920;698;1128;1;2;1;2;528;68400
8712;4;1900;859;1178;1;2;1;1;384;102776
8712;5;1952;540;1044;1;2;1;2;504;55993
8712;4;1896;756;952;1;3;1;1;330;50138
3811;8;2004;1594;1646;2;2;1;2;525;246000
11050;8;1998;1049;1916;2;3;1;3;741;254900
9620;6;1977;1243;1285;2;3;1;2;473;190000
9196;7;2003;1560;1560;2;3;1;2;573;201000
12328;6;1976;1012;1034;1;3;1;3;888;169900
12760;6;1976;1958;2048;3;5;2;2;776;170000
57200;5;1948;747;1687;1;3;1;2;572;160000
11896;7;2008;1336;1346;2;3;1;3;660;220000
9803;7;2009;1214;1214;2;2;1;2;520;179781
9802;5;2006;384;1444;2;3;1;2;400;174000
12003;8;2009;774;1968;2;4;1;3;680;269500
11316;7;2002;817;1894;2;4;1;2;510;214900
14191;8;2002;967;1908;2;4;1;2;431;202900
13214;9;2008;2002;2018;2;3;1;3;746;378500
15300;5;1965;1068;1264;1;2;1;2;528;169000
10114;5;2004;1430;1430;2;3;1;2;624;173500
9400;6;1971;912;1824;2;4;2;0;0;139000
11875;5;1999;1344;1344;2;3;1;2;686;166500
1974;4;1973;546;1092;1;3;1;1;286;83500
2394;5;1973;945;945;1;2;1;1;253;119500
2592;5;1976;536;1112;1;3;1;1;336;85000
1476;4;1970;546;1092;1;3;1;0;0;76000
1491;4;1972;630;630;1;1;1;0;0;75500
1900;4;1970;546;1092;1;3;1;0;0;88250
1890;4;1972;546;1092;1;3;1;1;286;85500
6953;5;1971;864;874;1;3;1;1;352;130000
26142;5;1962;1188;1188;1;3;1;1;312;157900
12887;5;1984;833;833;1;2;1;2;495;149900
7700;5;1985;1216;2432;4;4;2;2;616;159000
10475;5;1991;624;1274;1;3;1;2;576;136000
10544;5;1969;864;1479;2;5;1;1;275;161000
9892;8;1994;1679;1803;2;3;1;2;482;285000
12961;6;1993;1152;1797;2;3;1;2;616;231000
13008;6;1956;882;882;1;2;1;1;502;124500
10200;6;1974;1434;1434;2;4;1;2;528;157000
13860;8;1972;1952;2704;2;4;1;2;538;345000
10179;6;1997;945;1608;2;3;1;2;470;189500
11792;8;2003;1008;2283;2;4;1;3;632;270000
8400;7;1996;384;1628;2;3;1;2;390;189000
14892;9;2006;1746;1746;2;3;1;3;758;377500
8530;7;1995;384;1474;2;3;1;2;400;168500
7296;8;2004;2208;2522;2;1;1;2;564;375000
5664;8;2000;1501;1659;2;2;1;2;499;278000
7380;8;1998;1418;1478;2;2;1;2;495;240000
8013;8;1995;1587;1734;2;2;1;2;528;239500
8923;7;1998;384;1382;2;3;1;2;396;177500
10141;7;1998;832;1718;2;3;1;2;427;185000
7500;6;1998;952;1636;2;3;1;2;440;191000
7837;6;1993;799;1571;2;3;1;2;380;178000
9765;6;1993;680;1470;2;3;1;2;420;185000
8803;6;1994;707;1516;2;3;1;2;409;181316
7250;6;1993;1181;1190;2;3;1;2;430;166000
9636;6;1992;808;1593;2;3;1;2;389;178000
8125;6;1994;702;1481;2;3;1;2;343;174000
9248;6;1992;1158;1167;2;3;1;2;400;173000
10762;7;1999;978;1983;2;3;1;2;490;225000
11851;7;1990;1424;1442;2;3;1;2;500;180500
5814;8;1984;1220;1360;1;1;1;2;565;187500
17423;9;2008;2216;2234;2;1;1;3;1166;501837
11844;8;2008;2046;2046;2;3;1;3;834;372500
16158;7;2005;1530;1530;2;3;1;2;430;260000
11900;5;1977;1122;1934;2;3;1;2;567;185000
13005;7;1980;845;2353;2;4;1;2;484;260000
17043;6;1979;1362;1586;2;3;1;2;435;181000
11900;7;1977;1386;1411;2;3;1;2;544;82500
16635;6;1977;1602;1602;2;3;1;2;529;215000
13250;7;1978;832;2050;2;4;1;2;529;154000
10928;6;1978;1427;1671;2;3;1;2;484;200000
12388;7;1980;1043;2673;2;4;1;2;441;249000
14115;7;1980;1372;1472;2;3;1;2;588;187500
11088;6;1978;1140;1707;2;3;1;2;479;184000
9600;8;1981;2524;2524;2;4;1;2;542;278000
11880;7;1978;1271;1601;2;3;1;2;478;157000
10400;7;1976;1090;1370;2;3;1;2;479;152000
10304;5;1976;780;1868;2;4;1;2;484;197500
7000;7;2003;926;1884;2;3;1;2;581;240900
8004;8;2009;832;1935;2;3;1;2;552;263435
7500;8;2000;1058;1874;2;3;1;2;588;220000
8470;8;2002;972;1811;2;3;1;2;565;235000
9373;5;1975;1621;1621;2;3;1;2;478;213000
10140;6;1974;1116;1116;2;3;1;2;528;167900
11050;7;1975;1176;1193;2;3;1;2;506;158000
10140;6;1974;1064;1350;2;3;1;2;478;165000
10448;6;1972;689;2119;2;3;1;2;583;158000
9000;5;1974;896;1792;2;4;2;0;0;136000
8750;5;1970;1002;1002;1;3;1;2;902;148500
7930;6;1969;1026;1026;1;3;1;2;440;156000
7830;5;1970;1180;1180;1;2;1;2;477;128000
8510;5;1971;1043;1050;1;3;1;1;336;143000
7038;4;1970;864;864;1;3;1;2;576;76500
6960;4;1970;864;864;1;3;1;2;660;120500
8120;4;1970;864;864;1;3;1;2;463;124500
10500;4;1971;864;864;1;2;1;2;576;97000
9000;4;1971;864;864;1;3;1;2;576;130000
1680;6;1973;483;987;1;2;1;1;264;111000
2368;5;1970;765;1365;1;3;1;2;440;125000
1680;5;1971;630;1302;2;3;1;1;280;112000
1680;6;1972;483;987;1;2;1;1;288;97000
1680;6;1972;483;987;1;2;1;1;264;118000
1680;5;1972;630;1302;2;3;1;1;264;119500
4928;6;1976;958;958;2;2;1;2;440;143750
2308;6;1976;804;1548;2;3;1;2;440;146000
2280;6;1976;855;1456;2;3;1;2;440;148500
2280;7;1975;1057;1055;2;2;1;2;440;123000
2308;6;1974;855;1322;2;3;1;2;440;147000
2349;6;1977;855;1456;2;3;1;2;440;137900
2364;6;1978;804;1548;2;3;1;2;440;147000
2289;6;1978;855;1441;2;3;1;2;440;148500
2364;6;1978;855;1456;2;3;1;2;440;138000
2104;7;1976;836;836;1;2;1;1;345;128500
7150;5;1967;892;892;1;3;1;1;288;100000
10710;5;1966;864;1120;1;3;1;2;656;148800
12456;10;2006;1700;1718;2;3;1;3;786;337500
14257;9;2007;1776;2772;3;4;1;3;754;462000
13518;9;2008;1926;3140;3;4;1;3;820;485000
15431;10;2008;3094;2402;2;2;1;3;672;555000
13173;9;2006;1652;1652;2;2;1;2;840;325000
14230;8;2007;1566;1600;2;3;1;3;890;256300
12704;8;2008;2042;2042;2;3;1;3;1390;253293
12350;9;2009;1365;2690;2;3;1;3;864;398800
11308;9;2008;1104;2184;2;3;1;3;836;335000
12350;9;2008;2020;2020;2;3;1;3;896;404000
12220;10;2009;2006;2020;2;3;1;3;900;402861
13478;10;2008;1722;2296;2;3;1;3;842;451950
13693;10;2007;2630;2674;2;2;1;3;762;610000
13891;9;2008;1734;2822;3;4;1;3;1020;582933
11578;9;2008;1736;1736;2;3;1;3;834;360000
16870;8;2004;1782;1782;2;3;1;3;932;296000
23303;8;2007;1508;2520;2;5;1;3;640;409900
11146;8;2006;1709;1717;2;3;1;3;908;255500
10367;9;2008;1739;1743;2;3;1;3;927;335000
9591;8;2004;1713;1713;2;3;1;3;856;274900
10872;9;2006;1504;1531;2;2;1;3;700;300000
13514;9;2008;1774;1808;2;3;1;3;850;324000
8834;9;2004;1462;2224;2;4;1;3;738;350000
11362;8;2004;1836;1836;2;3;1;3;862;280000
10655;8;2003;3206;1629;2;3;1;3;880;284000
12878;7;2003;1760;1760;2;3;1;2;583;269500
9541;7;2009;1502;1502;2;3;1;2;644;233170
13472;10;2003;2392;2392;2;3;1;3;968;386250
15274;9;2003;2452;2452;2;3;1;3;886;445000
13262;8;2003;1082;2400;3;4;1;3;730;290000
9658;8;2006;1598;1606;2;3;1;3;871;255900
6904;6;2005;1358;1358;2;2;1;2;484;213000
5381;6;2005;1306;1306;2;1;1;2;624;196000
5122;6;2005;1306;1306;2;1;1;2;624;184500
10307;7;2007;1350;1358;2;2;1;2;484;212500
5001;7;2007;1314;1314;2;2;1;2;626;230000
14836;10;2004;2492;2492;2;2;1;3;949;552000
15262;8;2003;2200;2200;2;3;1;3;685;382500
7390;9;2008;1884;1884;2;2;1;2;649;320000
6472;9;2008;1451;1456;2;2;1;2;539;248500
16770;8;2002;1712;1712;2;3;1;3;701;286500
6240;8;2006;1324;1324;2;2;1;2;550;254000
3480;7;2003;1405;1405;2;2;1;2;478;173000
2268;7;2003;764;1626;2;2;1;2;474;173000
10928;7;2005;728;1456;2;3;1;2;390;184000
8918;6;2005;745;1490;2;3;1;2;392;167800
12589;6;2005;742;1484;2;3;1;2;390;174000
11911;6;2005;684;1560;2;3;1;2;400;174000
3684;7;2007;1373;1555;2;2;1;3;660;174000
3635;7;2007;1386;1569;2;1;1;3;660;175900
3182;7;2005;1373;1555;2;2;1;2;430;192500
3182;7;2005;1346;1504;2;1;1;2;457;181000
3182;7;2005;1220;1220;2;2;1;2;397;180000
3182;7;2005;1145;1145;2;2;1;2;397;160200
7795;7;2004;716;1432;2;3;1;2;432;188500
8068;6;2002;1010;2267;2;4;1;2;390;200000
9434;7;2004;384;1374;2;3;1;2;400;170000
7984;7;2004;868;1630;2;3;1;2;436;189500
7750;8;2002;408;1419;2;3;1;2;527;184100
10125;7;2004;846;1594;2;3;1;2;434;195500
8965;7;2003;782;1489;2;3;1;2;400;192000
8174;7;2003;698;1342;2;3;1;2;393;178000
5063;7;2007;1314;1314;2;2;1;2;626;207500
8795;7;2000;952;2256;2;4;1;2;554;236000
12891;8;2002;870;2004;2;4;1;3;644;257500
12224;6;2000;992;2054;2;3;1;2;390;244000
9734;7;2004;384;1374;2;3;1;2;400;167000
8123;6;2000;982;1800;2;3;1;2;463;179000
8433;6;2000;794;1514;2;3;1;2;394;190000
7750;7;1999;384;1430;2;3;1;2;400;156000
15896;7;1999;1177;2312;2;4;1;3;658;245000
24682;6;1999;841;1675;2;3;1;2;502;181000
8755;7;1999;992;2060;2;3;1;2;390;214000
7848;7;1999;384;1430;2;3;1;2;410;168000
9430;8;1999;1252;2365;2;3;1;3;856;337000
15138;8;1995;1462;2794;2;4;1;3;810;403000
12720;8;2000;1455;2687;2;4;1;3;810;327000
16545;8;1998;1284;2450;2;3;1;3;1069;340000
12203;8;1998;1225;2612;2;4;1;3;676;336000
10208;7;1996;1264;2344;2;3;1;3;889;265000
10750;8;1994;2024;2063;2;3;1;3;815;315000
9900;7;1993;1347;2646;2;4;1;3;656;260000
9085;7;1995;1070;2061;2;3;1;2;647;260000
11692;8;1993;1173;2232;2;3;1;2;623;263550
46589;8;1994;1629;2448;2;4;1;3;711;402000
29959;7;1994;973;1850;2;3;1;2;467;248000
9612;8;2008;1468;1468;2;3;1;3;898;244600
11194;8;2008;1696;1696;2;3;1;3;972;275000
10206;8;2008;1614;1658;2;3;1;3;726;257500
9262;8;2008;1573;1578;2;3;1;3;840;287090
10130;8;2007;1702;1702;2;3;1;3;844;275500
9139;8;2006;1422;1432;2;3;1;2;492;245000
9675;7;2005;1113;1971;2;3;1;2;689;253000
11128;9;2005;2458;2490;2;2;1;3;795;468000
8640;7;2009;900;1852;2;3;1;2;644;252678
9000;8;2008;768;1590;2;3;1;2;676;210000
7862;6;2009;1218;1218;2;2;1;2;676;208300
7993;7;2008;1436;1436;2;3;1;2;529;225000
8640;8;2009;1300;1314;2;3;1;2;552;229456
8640;7;2008;1402;1402;2;3;1;2;625;229800
12606;9;2007;1530;1530;2;3;1;3;984;250000
9187;9;2009;1766;1766;2;2;1;3;478;370878
